,LotFrontage,LotArea,Utilities,MasVnrType,MasVnrArea,HouseStyle,Heating,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,Electrical,1stFlrSF,2ndFlrSF,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,SaleType,SaleCondition,SalePrice
0,65.0,8450,AllPub,BrkFace,196.0,2Story,GasA,Gd,TA,No,GLQ,706,Unf,0,SBrkr,856,854,0,Attchd,RFn,2,548,TA,TA,0,61,0,0,0,WD,Normal,208500
1,80.0,9600,AllPub,None,0.0,1Story,GasA,Gd,TA,Gd,ALQ,978,Unf,0,SBrkr,1262,0,1,Attchd,RFn,2,460,TA,TA,298,0,0,0,0,WD,Normal,181500
2,68.0,11250,AllPub,BrkFace,162.0,2Story,GasA,Gd,TA,Mn,GLQ,486,Unf,0,SBrkr,920,866,1,Attchd,RFn,2,608,TA,TA,0,42,0,0,0,WD,Normal,223500
3,60.0,9550,AllPub,None,0.0,2Story,GasA,TA,Gd,No,ALQ,216,Unf,0,SBrkr,961,756,1,Detchd,Unf,3,642,TA,TA,0,35,272,0,0,WD,Abnorml,140000
4,84.0,14260,AllPub,BrkFace,350.0,2Story,GasA,Gd,TA,Av,GLQ,655,Unf,0,SBrkr,1145,1053,1,Attchd,RFn,3,836,TA,TA,192,84,0,0,0,WD,Normal,250000
5,85.0,14115,AllPub,None,0.0,1.5Fin,GasA,Gd,TA,No,GLQ,732,Unf,0,SBrkr,796,566,0,Attchd,Unf,2,480,TA,TA,40,30,0,320,0,WD,Normal,143000
6,75.0,10084,AllPub,Stone,186.0,1Story,GasA,Ex,TA,Av,GLQ,1369,Unf,0,SBrkr,1694,0,1,Attchd,RFn,2,636,TA,TA,255,57,0,0,0,WD,Normal,307000
7,,10382,AllPub,Stone,240.0,2Story,GasA,Gd,TA,Mn,ALQ,859,BLQ,32,SBrkr,1107,983,2,Attchd,RFn,2,484,TA,TA,235,204,228,0,0,WD,Normal,200000
8,51.0,6120,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,Unf,0,Unf,0,FuseF,1022,752,2,Detchd,Unf,2,468,Fa,TA,90,0,205,0,0,WD,Abnorml,129900
9,50.0,7420,AllPub,None,0.0,1.5Unf,GasA,TA,TA,No,GLQ,851,Unf,0,SBrkr,1077,0,2,Attchd,RFn,1,205,Gd,TA,0,4,0,0,0,WD,Normal,118000
10,70.0,11200,AllPub,None,0.0,1Story,GasA,TA,TA,No,Rec,906,Unf,0,SBrkr,1040,0,0,Detchd,Unf,1,384,TA,TA,0,0,0,0,0,WD,Normal,129500
11,85.0,11924,AllPub,Stone,286.0,2Story,GasA,Ex,TA,No,GLQ,998,Unf,0,SBrkr,1182,1142,2,BuiltIn,Fin,3,736,TA,TA,147,21,0,0,0,New,Partial,345000
12,,12968,AllPub,None,0.0,1Story,GasA,TA,TA,No,ALQ,737,Unf,0,SBrkr,912,0,0,Detchd,Unf,1,352,TA,TA,140,0,0,0,176,WD,Normal,144000
