,time,coordinate,text
0,2015-02-24 11:35:52 -0800,nan,@VirginAmerica What @dhepburn said.
1,2015-02-24 11:15:59 -0800,nan,@VirginAmerica plus you've added commercials to the experience... tacky.
2,2015-02-24 11:15:48 -0800,nan,@VirginAmerica I didn't today... Must mean I need to take another trip!
3,2015-02-24 11:15:36 -0800,nan,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
4,2015-02-24 11:14:45 -0800,nan,@VirginAmerica and it's a really big bad thing about it
5,2015-02-24 11:14:33 -0800,nan,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
6,2015-02-24 11:13:57 -0800,nan,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
7,2015-02-24 11:12:29 -0800,nan,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
8,2015-02-24 11:11:19 -0800,nan,"@virginamerica Well, I didn't…but NOW I DO! :-D"
9,2015-02-24 10:53:27 -0800,nan,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
10,2015-02-24 10:48:24 -0800,nan,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
11,2015-02-24 10:30:40 -0800,nan,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
12,2015-02-24 10:30:06 -0800,nan,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
13,2015-02-24 10:21:28 -0800,nan,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
14,2015-02-24 10:15:29 -0800,nan,@VirginAmerica Thanks!
15,2015-02-24 10:01:50 -0800,nan,@VirginAmerica SFO-PDX schedule is still MIA.
16,2015-02-24 09:42:59 -0800,nan,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
17,2015-02-24 09:39:46 -0800,nan,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
18,2015-02-24 09:15:00 -0800,nan,I ❤️ flying @VirginAmerica. ☺️👍
19,2015-02-24 09:04:10 -0800,nan,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
20,2015-02-24 08:55:56 -0800,nan,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
21,2015-02-24 08:49:01 -0800,"[40.74804263, -73.99295302]",@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
22,2015-02-24 08:30:15 -0800,nan,@VirginAmerica I love the hipster innovation. You are a feel good brand.
23,2015-02-24 08:27:52 -0800,nan,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?
24,2015-02-24 08:18:51 -0800,nan,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
25,2015-02-24 07:49:15 -0800,nan,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
26,2015-02-24 07:11:37 -0800,nan,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
27,2015-02-24 05:44:59 -0800,nan,@VirginAmerica do you miss me? Don't worry we'll be together very soon.
28,2015-02-24 05:05:28 -0800,"[42.361016, -71.02000488]",@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
29,2015-02-23 23:34:30 -0800,"[33.94540417, -118.4062472]",@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
30,2015-02-23 22:52:29 -0800,nan,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
31,2015-02-23 21:35:43 -0800,nan,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
32,2015-02-23 21:10:41 -0800,"[33.94209449, -118.40410103]","@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
33,2015-02-23 20:55:30 -0800,nan,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
34,2015-02-23 20:24:33 -0800,"[33.2145038, -96.9321504]",@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
35,2015-02-23 18:46:00 -0800,nan,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
36,2015-02-23 18:43:35 -0800,nan,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
37,2015-02-23 18:19:47 -0800,nan,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
38,2015-02-23 17:54:09 -0800,nan,@VirginAmerica when can I book my flight to Hawaii??
39,2015-02-23 17:41:58 -0800,nan,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
40,2015-02-23 17:32:54 -0800,nan,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
41,2015-02-23 17:00:40 -0800,nan,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
42,2015-02-23 16:24:11 -0800,"[34.0219817, -118.38591198]",@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️
43,2015-02-23 16:20:38 -0800,nan,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
44,2015-02-23 16:13:09 -0800,nan,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
45,2015-02-23 16:08:07 -0800,nan,@VirginAmerica I'm #elevategold for a good reason: you rock!!
46,2015-02-23 16:04:28 -0800,nan,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
47,2015-02-23 16:01:25 -0800,nan,@VirginAmerica wow this just blew my mind
48,2015-02-23 16:01:17 -0800,nan,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
49,2015-02-23 15:58:00 -0800,nan,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
50,2015-02-23 15:55:18 -0800,nan,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
51,2015-02-23 15:46:46 -0800,nan,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
52,2015-02-23 15:36:51 -0800,nan,@VirginAmerica wish you flew out of Atlanta... Soon?
53,2015-02-23 15:24:09 -0800,nan,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
54,2015-02-23 15:19:41 -0800,nan,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
55,2015-02-23 15:05:09 -0800,nan,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
56,2015-02-23 15:04:29 -0800,nan,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
57,2015-02-23 14:40:33 -0800,nan,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
58,2015-02-23 14:40:19 -0800,nan,@VirginAmerica @ladygaga @carrieunderwood - Carrie!
59,2015-02-23 14:37:42 -0800,nan,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
60,2015-02-23 14:36:58 -0800,nan,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
61,2015-02-23 14:35:50 -0800,nan,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
62,2015-02-23 14:30:13 -0800,"[33.57963333, -117.73024772]","@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌"
63,2015-02-23 14:26:53 -0800,nan,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
64,2015-02-23 14:25:09 -0800,nan,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
65,2015-02-23 14:09:06 -0800,nan,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
66,2015-02-23 13:46:30 -0800,nan,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
67,2015-02-23 13:35:23 -0800,nan,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
68,2015-02-23 13:30:10 -0800,nan,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
69,2015-02-23 13:08:21 -0800,"[40.6413712, -73.78311558]",@VirginAmerica everything was fine until you lost my bag
70,2015-02-23 12:47:52 -0800,nan,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
71,2015-02-23 12:00:17 -0800,nan,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.
72,2015-02-23 11:56:37 -0800,nan,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
73,2015-02-23 11:46:16 -0800,nan,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
74,2015-02-23 11:32:31 -0800,"[36.08457854, -115.13780136]","@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
75,2015-02-23 11:28:46 -0800,nan,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
76,2015-02-23 11:24:18 -0800,nan,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
77,2015-02-23 11:22:16 -0800,nan,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks
78,2015-02-23 11:02:02 -0800,nan,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
79,2015-02-23 10:58:43 -0800,nan,@VirginAmerica what happened to Doom?!
80,2015-02-23 10:56:25 -0800,nan,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
81,2015-02-23 10:56:16 -0800,nan,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
82,2015-02-23 10:54:47 -0800,nan,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
83,2015-02-23 10:54:36 -0800,nan,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
84,2015-02-23 10:38:14 -0800,nan,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
85,2015-02-23 10:29:19 -0800,"[0.0, 0.0]",@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
86,2015-02-23 10:15:00 -0800,nan,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code
87,2015-02-23 10:09:30 -0800,nan,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
88,2015-02-23 10:04:47 -0800,nan,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?
89,2015-02-23 09:57:42 -0800,nan,@VirginAmerica Why is the site down?  When will it be back up?
90,2015-02-23 09:45:23 -0800,nan,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
91,2015-02-23 09:35:03 -0800,nan,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
92,2015-02-23 09:29:00 -0800,nan,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
93,2015-02-23 09:28:26 -0800,nan,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
94,2015-02-23 09:26:37 -0800,nan,@VirginAmerica why is flight 345 redirected?
95,2015-02-23 09:25:41 -0800,nan,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
96,2015-02-23 09:18:42 -0800,nan,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
97,2015-02-23 09:11:12 -0800,nan,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
98,2015-02-23 08:29:21 -0800,nan,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
99,2015-02-23 08:19:59 -0800,nan,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
100,2015-02-23 08:19:49 -0800,nan,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM
101,2015-02-23 08:11:03 -0800,nan,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
102,2015-02-23 08:08:08 -0800,nan,@VirginAmerica check out new music http://t.co/maRcnOCWzn
103,2015-02-23 08:08:01 -0800,"[0.0, 0.0]",@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky
104,2015-02-23 07:51:37 -0800,nan,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
105,2015-02-23 07:50:35 -0800,nan,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
106,2015-02-23 07:40:39 -0800,"[0.0, 0.0]",@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
107,2015-02-23 07:40:05 -0800,"[0.0, 0.0]",@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
108,2015-02-23 07:28:43 -0800,"[37.79374402, -122.39327564]",@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?
109,2015-02-23 06:57:25 -0800,nan,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
110,2015-02-23 06:57:24 -0800,nan,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
111,2015-02-23 06:57:24 -0800,nan,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
112,2015-02-23 06:57:24 -0800,nan,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
113,2015-02-23 06:51:01 -0800,nan,@VirginAmerica Have a great week 🌞✈
114,2015-02-23 06:07:54 -0800,nan,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
115,2015-02-23 05:15:06 -0800,"[26.074379, -80.1416831]","@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
116,2015-02-23 03:01:39 -0800,nan,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
117,2015-02-23 00:35:42 -0800,nan,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
118,2015-02-23 00:21:40 -0800,nan,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
119,2015-02-23 00:06:55 -0800,nan,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
120,2015-02-22 22:39:18 -0800,nan,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
121,2015-02-22 22:11:07 -0800,nan,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
122,2015-02-22 21:56:44 -0800,nan,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
123,2015-02-22 20:23:27 -0800,nan,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
124,2015-02-22 17:48:33 -0800,"[33.9469039, -118.40716847]",@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
125,2015-02-22 17:45:25 -0800,nan,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
126,2015-02-22 17:14:06 -0800,"[51.04345575, -114.06071363]",@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
127,2015-02-22 16:18:33 -0800,nan,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
128,2015-02-22 16:05:07 -0800,"[40.64662464, -73.77090177]",@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
129,2015-02-22 15:41:51 -0800,nan,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?
130,2015-02-22 15:40:12 -0800,nan,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
131,2015-02-22 15:06:19 -0800,nan,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
132,2015-02-22 15:03:35 -0800,nan,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?
133,2015-02-22 15:02:11 -0800,nan,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
134,2015-02-22 14:49:31 -0800,nan,@VirginAmerica Another delayed flight? #likingyoulessandless
135,2015-02-22 14:39:09 -0800,nan,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
136,2015-02-22 14:32:14 -0800,nan,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
137,2015-02-22 14:31:43 -0800,nan,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
138,2015-02-22 14:09:50 -0800,nan,@VirginAmerica always!!! Xoxo
139,2015-02-22 14:07:43 -0800,nan,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
140,2015-02-22 14:03:34 -0800,nan,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
141,2015-02-22 13:55:28 -0800,nan,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
142,2015-02-22 13:49:59 -0800,nan,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
143,2015-02-22 13:47:02 -0800,nan,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
144,2015-02-22 13:45:41 -0800,nan,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
145,2015-02-22 13:29:34 -0800,nan,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
146,2015-02-22 13:23:03 -0800,nan,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
147,2015-02-22 12:49:25 -0800,"[33.94652852, -118.40766257]",Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
148,2015-02-22 12:35:49 -0800,nan,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
149,2015-02-22 12:34:26 -0800,nan,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
150,2015-02-22 12:27:38 -0800,nan,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
151,2015-02-22 11:56:57 -0800,nan,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
152,2015-02-22 11:33:40 -0800,nan,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
153,2015-02-22 11:13:18 -0800,nan,@VirginAmerica is your website ever coming back online?
154,2015-02-22 11:10:37 -0800,nan,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
155,2015-02-22 11:10:30 -0800,nan,@VirginAmerica Is flight 0769 out of LGA to DFW on time?
156,2015-02-22 11:10:27 -0800,nan,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
157,2015-02-22 11:02:26 -0800,nan,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
158,2015-02-22 11:01:38 -0800,nan,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
159,2015-02-22 10:38:45 -0800,nan,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
160,2015-02-22 10:30:17 -0800,nan,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
161,2015-02-22 10:29:19 -0800,nan,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
162,2015-02-22 10:19:45 -0800,nan,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
163,2015-02-22 08:56:00 -0800,nan,@VirginAmerica is the website down?
164,2015-02-22 08:53:08 -0800,nan,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
165,2015-02-22 05:51:43 -0800,nan,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
166,2015-02-22 05:02:06 -0800,nan,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
167,2015-02-22 04:43:56 -0800,nan,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
168,2015-02-22 03:39:28 -0800,nan,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
169,2015-02-22 03:32:07 -0800,nan,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
170,2015-02-22 03:02:06 -0800,nan,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
171,2015-02-22 02:42:16 -0800,nan,@VirginAmerica Lister to my show my on Monday 1230 130
172,2015-02-22 01:32:05 -0800,nan,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
173,2015-02-21 21:32:59 -0800,nan,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
174,2015-02-21 21:28:42 -0800,nan,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
175,2015-02-21 20:41:55 -0800,nan,@VirginAmerica I'd love to know what your policy is for damaged luggage.
176,2015-02-21 20:33:30 -0800,nan,@VirginAmerica Thank you for the follow
177,2015-02-21 20:21:23 -0800,nan,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
178,2015-02-21 20:11:40 -0800,nan,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
179,2015-02-21 18:35:27 -0800,nan,@VirginAmerica @TTINAC11 I DM you
180,2015-02-21 18:29:40 -0800,nan,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭
181,2015-02-21 18:29:35 -0800,nan,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
182,2015-02-21 18:11:58 -0800,nan,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
183,2015-02-21 18:09:54 -0800,nan,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
184,2015-02-21 18:02:51 -0800,nan,@VirginAmerica Only way to fly! #Elevate #Gold
185,2015-02-21 17:43:33 -0800,nan,@VirginAmerica If only you guys had flights from CMH.
186,2015-02-21 17:41:48 -0800,nan,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
